Provincia,Municipio,Población,Longitud ETRS89,Latitud ETRS89,Altitud
Araba/Álava,Alegría-Dulantzi,2913,-2.51243731,42.83981158,568
Araba/Álava,Amurrio,10291,-3.00007326,43.05427776,219
Araba/Álava,Aramaio,1496,-2.56540037,43.05119653,333
Araba/Álava,Artziniega,1829,-3.12791718,43.12084358,210
Araba/Álava,Armiñón,239,-2.87183475,42.72326199,467
Araba/Álava,Arratzua-Ubarrundia,976,-2.63878816,42.89116171,528
Araba/Álava,Asparrena,1640,-2.31670754,42.88968768,602
Araba/Álava,Ayala/Aiara,2969,-3.04306746,43.07768283,306
Araba/Álava,Baños de Ebro/Mañueta,306,-2.67863583,42.52925602,421
Araba/Álava,Barrundia,898,-2.49407452,42.91537538,575
Araba/Álava,Berantevilla,443,-2.85971414,42.68227191,471
Araba/Álava,Bernedo,504,-2.49825439,42.62676989,710
Araba/Álava,Campezo/Kanpezu,1048,-2.35207693,42.66971209,578
Araba/Álava,Zigoitia,1766,-2.73033002,42.96210609,585
Araba/Álava,Kripan,184,-2.51621636,42.59082439,691
Araba/Álava,Kuartango,372,-2.88438243,42.87006411,594
Araba/Álava,Elburgo/Burgelu,607,-2.54601815,42.84940575,547
Araba/Álava,Elciego,1030,-2.61723872,42.51420738,451
Araba/Álava,Elvillar/Bilar,353,-2.54441267,42.56842577,581
Araba/Álava,Iruraiz-Gauna,530,-2.47396549,42.83108571,634
Araba/Álava,Labastida/Bastida,1454,-2.79288705,42.59076105,554
Araba/Álava,Lagrán,166,-2.58423377,42.62621464,751
Araba/Álava,Laguardia,1474,-2.58411693,42.55236655,630
Araba/Álava,Lanciego/Lantziego,673,-2.51278162,42.5624416,542
Araba/Álava,Lapuebla de Labarca,859,-2.57209001,42.49441468,431
Araba/Álava,Leza,203,-2.63459428,42.56469687,569
Araba/Álava,Laudio/Llodio,18133,-2.96256495,43.1425188,123
Araba/Álava,Arraia-Maeztu,725,-2.44663872,42.74000217,658
Araba/Álava,Moreda de Álava/Moreda Araba,230,-2.40841718,42.52479167,461
Araba/Álava,Navaridas,226,-2.62479544,42.5450594,535
Araba/Álava,Okondo,1155,-3.019026823,43.1615513,135
Araba/Álava,Oyón-Oion,3338,-2.43775585,42.50626162,433
Araba/Álava,Peñacerrada-Urizaharra,264,-2.71402821,42.64417512,752
Araba/Álava,Erriberagoitia/Ribera Alta,736,-2.91080642,42.80074682,545
Araba/Álava,Ribera Baja/Erribera Beitia,1375,-2.91704002,42.71339792,483
Araba/Álava,Añana,156,-2.98601634,42.8012318,574
Araba/Álava,Agurain/Salvatierra,5025,-2.38874391,42.85002265,605
Araba/Álava,Samaniego,323,-2.67904862,42.56735197,571
Araba/Álava,San Millán/Donemiliaga,709,-2.37748902,42.87382571,600
Araba/Álava,Urkabustaiz,1330,-2.90661046,42.95304046,633
Araba/Álava,Valdegovía/Gaubea,996,-3.09884417,42.84756896,552
Araba/Álava,Harana/Valle de Arana,232,-2.33104687,42.75289194,812
Araba/Álava,Villabuena de Álava/Eskuernaga,300,-2.66452938,42.54857804,483
Araba/Álava,Legutio,1800,-2.64255929,42.9798744,570
Araba/Álava,Vitoria-Gasteiz,246976,-2.67275685,42.85058789,539
Araba/Álava,Yécora/Iekora,270,-2.4700849,42.56923117,694
Araba/Álava,Zalduondo,190,-2.34650825,42.88580971,612
Araba/Álava,Zambrana,383,-2.87806502,42.66112968,458
Araba/Álava,Zuia,2316,-2.81862854,42.95597763,617
Araba/Álava,Iruña Oka/Iruña de Oca,3264,-2.8147543,42.81819126,502
Araba/Álava,Lantarón,899,-2.96649719,42.71657557,482
Albacete,Abengibre,748,-1.54384487,39.2100078,634
Albacete,Alatoz,555,-1.36097604,39.09494843,858
Albacete,Albacete,172816,-1.85574745,38.99588053,681
Albacete,Albatana,698,-1.52275248,38.5708754,582
Albacete,Alborea,697,-1.39670449,39.27835442,706
Albacete,Alcadozo,662,-1.9802275,38.6489758,925
Albacete,Alcalá del Júcar,1202,-1.42932697,39.1932018,547
Albacete,Alcaraz,1414,-2.49034957,38.66425104,953
Albacete,Almansa,24566,-1.09414681,38.86968811,687
Albacete,Alpera,2290,-1.23080245,38.95969094,852
Albacete,Ayna,672,-2.07053831,38.55217746,696
Albacete,Balazote,2350,-2.15096732,38.88396156,771
Albacete,Balsa de Ves,136,-1.19650012,39.26461253,751
Albacete,El Ballestero,414,-2.45508633,38.84252196,1027
Albacete,Barrax,1872,-2.20045637,39.0456106,733
Albacete,Bienservida,615,-2.61184243,38.51602097,898
Albacete,Bogarra,908,-2.21253636,38.58025427,844
Albacete,Bonete,1103,-1.34830324,38.86950589,886
Albacete,El Bonillo,2852,-2.54023691,38.95012362,1062
Albacete,Carcelén,521,-1.30876708,39.10231176,911
Albacete,Casas de Juan Núñez,1291,-1.55799035,39.10160749,704
Albacete,Casas de Lázaro,358,-2.23922378,38.7705758,942
Albacete,Casas de Ves,628,-1.33454992,39.25946122,707
Albacete,Casas-Ibáñez,4558,-1.47129143,39.28701686,708
Albacete,Caudete,10010,-0.9886912,38.70573009,554
Albacete,Cenizate,1192,-1.66113349,39.30332101,706
Albacete,Corral-Rubio,342,-1.4608525,38.83500072,870
Albacete,Cotillas,130,-2.50574545,38.43135915,947
Albacete,Chinchilla de Monte-Aragón,4213,-1.72602643,38.9210968,907
Albacete,Elche de la Sierra,3666,-2.04781376,38.44790893,630
Albacete,Férez,678,-2.00953934,38.35567013,682
Albacete,Fuensanta,313,-2.06725219,39.24466001,693
Albacete,Fuente-Álamo,2531,-1.43170411,38.69314229,820
Albacete,Fuentealbilla,1843,-1.54879364,39.26773579,670
Albacete,La Gineta,2457,-1.99784496,39.11387916,691
Albacete,Golosalvo,110,-1.63626863,39.23996013,740
Albacete,Hellín,30184,-1.70344921,38.51218953,570
Albacete,La Herrera,341,-2.12637236,38.9621774,714
Albacete,Higueruela,1196,-1.44535609,38.96455026,1041
Albacete,Hoya-Gonzalo,643,-1.55687053,38.95787352,929
Albacete,Jorquera,378,-1.52061391,39.17457441,624
Albacete,Letur,948,-2.10096881,38.36632081,735
Albacete,Lezuza,1412,-2.35387427,38.94878996,913
Albacete,Liétor,1240,-1.95479319,38.54083745,641
Albacete,Madrigueras,4647,-1.7997012,39.23680339,688
Albacete,Mahora,1360,-1.72481837,39.21303088,663
Albacete,Masegoso,115,-2.31511768,38.71877813,1108
Albacete,Minaya,1538,-2.31961973,39.27118701,723
Albacete,Molinicos,863,-2.23898151,38.46778179,851
Albacete,Montalvos,102,-2.02769341,39.16721439,709
Albacete,Montealegre del Castillo,2057,-1.32487672,38.78717469,810
Albacete,Motilleja,549,-1.79025762,39.17948885,676
Albacete,Munera,3572,-2.4830388,39.03954575,929
Albacete,Navas de Jorquera,523,-1.7189485,39.28099513,708
Albacete,Nerpio,1277,-2.30224029,38.14824043,1085
Albacete,Ontur,2072,-1.49888166,38.61472661,653
Albacete,Ossa de Montiel,2411,-2.74272664,38.96201035,898
Albacete,Paterna del Madera,359,-2.34555766,38.59729435,1126
Albacete,Peñascosa,328,-2.41040499,38.67153536,1169
Albacete,Peñas de San Pedro,1436,-2.00212787,38.72688881,1010
Albacete,Pétrola,719,-1.55549981,38.82629814,870
Albacete,Povedilla,452,-2.60393627,38.70163971,872
Albacete,Pozohondo,1653,-1.91133356,38.721122,871
Albacete,Pozo-Lorente,414,-1.50647855,39.07663024,769
Albacete,Pozuelo,514,-2.10117384,38.80969625,845
Albacete,La Recueja,260,-1.48988779,39.17688319,542
Albacete,Riópar,1391,-2.41839311,38.4998099,1126
Albacete,Robledo,366,-2.44882682,38.75778452,1041
Albacete,La Roda,15603,-2.15924796,39.20706504,708
Albacete,Salobre,523,-2.55057256,38.59195258,920
Albacete,San Pedro,1179,-2.186211,38.82654004,844
Albacete,Socovos,1788,-1.98469065,38.33202632,734
Albacete,Tarazona de la Mancha,6363,-1.91280979,39.26539647,713
Albacete,Tobarra,7754,-1.69282296,38.5922733,652
Albacete,Valdeganga,1958,-1.67646922,39.13545152,667
Albacete,Vianos,359,-2.50149079,38.632307,1118
Albacete,Villa de Ves,59,-1.25897631,39.22231541,744
Albacete,Villalgordo del Júcar,1125,-2.06309183,39.29598679,683
Albacete,Villamalea,4124,-1.59908353,39.36160785,739
Albacete,Villapalacios,594,-2.63505947,38.57467359,837
